Category Name,Late_Count,Total_Orders,Late_Rate,Avg_Delivery_Days,Total_Sales,Late_Rate_Pct
Golf Bags & Carts,42,61,0.69,3.34,10369.39,69.0
Lacrosse,206,343,0.6,3.62,39464.79,60.0
Pet Supplies,290,492,0.59,3.39,41524.8,59.0
Cameras ,344,592,0.58,3.34,267607.69,58.0
Strength Training,64,111,0.58,3.75,54895.53,58.0
Fitness Accessories,176,309,0.57,3.57,35601.44,57.0
As Seen on  TV!,39,68,0.57,3.63,20597.94,57.0
Music,248,434,0.57,3.48,113122.1,57.0
Accessories,1014,1780,0.57,3.5,133671.51,57.0
Books ,229,405,0.57,3.39,12587.4,57.0
Tennis & Racquet,183,328,0.56,3.54,44585.09,56.0
Hunting & Shooting,247,440,0.56,3.43,56848.42,56.0
Health and Beauty,202,362,0.56,3.46,106080.48,56.0
Golf Shoes,291,524,0.56,3.47,107998.0,56.0
Trade-In,542,974,0.56,3.57,68721.78,56.0
Women's Clothing,367,650,0.56,3.54,140283.0,56.0
Garden,270,484,0.56,3.5,257768.73,56.0
Golf Gloves,602,1070,0.56,3.55,116695.39,56.0
Electronics,1770,3156,0.56,3.49,371034.64,56.0
Boxing & MMA,238,423,0.56,3.47,85205.41,56.0
Crafts,271,484,0.56,3.58,223356.33,56.0
Fishing,9516,17325,0.55,3.5,6929653.69,55.0
Baseball & Softball,349,632,0.55,3.47,94057.15,55.0
Sporting Goods,198,357,0.55,3.49,117006.75,55.0
Basketball,37,67,0.55,3.46,27099.33,55.0
Indoor/Outdoor Games,10565,19298,0.55,3.5,2888993.91,55.0
Toys,291,529,0.55,3.52,6104.66,55.0
Cleats,13496,24551,0.55,3.51,4431942.78,55.0
Shop By Sport,6058,10984,0.55,3.49,1309522.04,55.0
Consumer Electronics,238,431,0.55,3.43,108991.28,55.0
Golf Balls,805,1475,0.55,3.51,77098.16,55.0
Water Sports,8517,15540,0.55,3.48,3113844.68,55.0
Girls' Apparel,664,1201,0.55,3.51,151706.2,55.0
Women's Apparel,11476,21035,0.55,3.48,3147800.0,55.0
Camping & Hiking,7487,13729,0.55,3.5,4118425.57,55.0
Video Games,455,838,0.54,3.59,33310.5,54.0
Soccer,75,138,0.54,3.71,26477.05,54.0
Men's Footwear,12121,22246,0.54,3.5,2891757.66,54.0
Men's Clothing,113,208,0.54,3.42,43856.8,54.0
Cardio Equipment,6805,12487,0.54,3.5,3694843.2,54.0
Hockey,329,614,0.54,3.42,48360.73,54.0
DVDs,259,483,0.54,3.64,79395.54,54.0
Women's Golf Clubs,97,181,0.54,3.56,44545.97,54.0
Kids' Golf Clubs,205,384,0.53,3.63,98797.58,53.0
Children's Clothing,348,652,0.53,3.61,232829.2,53.0
Baby ,109,207,0.53,3.15,12229.56,53.0
CDs ,141,271,0.52,3.45,3059.59,52.0
Golf Apparel,229,441,0.52,3.53,34969.75,52.0
Computers,224,442,0.51,3.62,663000.0,51.0
Men's Golf Clubs,135,283,0.48,3.45,47035.8,48.0
