Customer State,Late_Count,Total_Shipments,Late_Rate,Avg_Delivery_Days,Avg_Variance_Days,Late_Rate_Pct
NM,572,949,0.6,3.53,0.72,60.0
DE,162,269,0.6,3.35,0.54,60.0
OK,138,232,0.59,3.71,0.92,59.0
AR,95,164,0.58,3.96,0.74,58.0
DC,335,579,0.58,3.49,0.75,58.0
ND,122,215,0.57,3.42,0.68,57.0
NC,1127,1992,0.57,3.54,0.72,57.0
MN,383,672,0.57,3.64,0.69,57.0
GA,1415,2503,0.57,3.55,0.64,57.0
MD,1375,2415,0.57,3.47,0.61,57.0
SC,379,665,0.57,3.49,0.52,57.0
TN,890,1582,0.56,3.63,0.64,56.0
KY,271,487,0.56,3.47,0.58,56.0
IN,326,581,0.56,3.27,0.44,56.0
IL,4303,7631,0.56,3.53,0.61,56.0
CT,608,1094,0.56,3.45,0.62,56.0
WA,519,920,0.56,3.53,0.63,56.0
TX,5028,9103,0.55,3.53,0.57,55.0
MA,885,1607,0.55,3.55,0.61,55.0
RI,133,243,0.55,3.16,0.52,55.0
VA,1016,1849,0.55,3.48,0.55,55.0
PR,37991,69373,0.55,3.5,0.56,55.0
CA,16180,29223,0.55,3.47,0.57,55.0
NV,795,1440,0.55,3.65,0.66,55.0
OH,2262,4095,0.55,3.51,0.62,55.0
UT,519,968,0.54,3.5,0.48,54.0
PA,2049,3824,0.54,3.44,0.55,54.0
OR,907,1668,0.54,3.51,0.52,54.0
WV,129,241,0.54,3.52,0.49,54.0
NY,6107,11327,0.54,3.43,0.5,54.0
MI,2036,3804,0.54,3.58,0.56,54.0
KS,246,458,0.54,3.31,0.46,54.0
HI,676,1248,0.54,3.52,0.48,54.0
FL,2942,5456,0.54,3.52,0.58,54.0
NJ,1677,3191,0.53,3.5,0.5,53.0
LA,500,948,0.53,3.56,0.58,53.0
MO,713,1354,0.53,3.52,0.54,53.0
AZ,1572,3026,0.52,3.45,0.48,52.0
WI,443,850,0.52,3.49,0.43,52.0
ID,86,167,0.51,3.58,0.73,51.0
CO,970,1914,0.51,3.41,0.47,51.0
